Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2021-06-08,"""Running (jogging), 5 mph (12 min mile)""",Cardio,125.2,20,,,,,
2021-06-10,"""Strength training (weight lifting, weight training)""",Cardio,341.5,34,,,,,
2022-01-10,"""Strength training (weight lifting, weight training)""",Cardio,370.5,53,,,,,
2022-01-11,"""Strength training (weight lifting, weight training)""",Cardio,597.3,63,,,,,
2022-01-12,"""Strength training (weight lifting, weight training)""",Cardio,252.0,25,,,,,
2022-01-13,"""Strength training (weight lifting, weight training)""",Cardio,466.4,59,,,,,
2022-03-01,"""Strength training (weight lifting, weight training)""",Cardio,316.6,33,,,,,
2022-03-08,"""Walking, 2.5 mph, leisurely pace""",Cardio,84.9,23,,,,,
2022-03-29,"""Strength training (weight lifting, weight training)""",Cardio,408.2,61,,,,,
2022-03-30,"""Strength training (weight lifting, weight training)""",Cardio,344.8,37,,,,,
2022-03-30,"""Swimming laps, freestyle, light/moderate effort""",Cardio,45.1,25,,,,,
2022-03-30,"""Walking, 2.5 mph, leisurely pace""",Cardio,53.2,12,,,,,
2022-03-31,"""Strength training (weight lifting, weight training)""",Cardio,240.5,45,,,,,
2022-04-02,"""Strength training (weight lifting, weight training)""",Cardio,839.3,79,,,,,
2022-04-02,"""Strength training (weight lifting, weight training)""",Cardio,117.8,12,,,,,
2022-04-02,"""Swimming laps, freestyle, light/moderate effort""",Cardio,53.8,23,,,,,
2022-04-04,"""Strength training (weight lifting, weight training)""",Cardio,393.5,40,,,,,
2022-04-05,"""Strength training (weight lifting, weight training)""",Cardio,596.9,52,,,,,
2022-04-05,"""Walking, 2.5 mph, leisurely pace""",Cardio,86.6,26,,,,,
2022-04-06,"""Strength training (weight lifting, weight training)""",Cardio,398.7,47,,,,,
2022-04-13,"""Strength training (weight lifting, weight training)""",Cardio,307.1,39,,,,,
2022-04-13,"""Walking, 2.5 mph, leisurely pace""",Cardio,84.4,25,,,,,
2022-06-29,"""Strength training (weight lifting, weight training)""",Cardio,222.9,42,,,,,
2022-07-06,"""Strength training (weight lifting, weight training)""",Cardio,323.9,39,,,,,
2022-07-07,"""Strength training (weight lifting, weight training)""",Cardio,412.0,62,,,,,
2022-07-07,"""Walking, 2.5 mph, leisurely pace""",Cardio,54.5,14,,,,,
2022-07-07,"""Walking, 2.5 mph, leisurely pace""",Cardio,61.3,20,,,,,
2022-07-08,"""Strength training (weight lifting, weight training)""",Cardio,54.9,81,,,,,
2022-07-13,"""Strength training (weight lifting, weight training)""",Cardio,344.5,59,,,,,
2022-08-31,"""Strength training (weight lifting, weight training)""",Cardio,352.1,44,,,,,
2022-10-13,"""Strength training (weight lifting, weight training)""",Cardio,275.8,36,,,,,
2023-01-19,"""Strength training (weight lifting, weight training)""",Cardio,501.7,57,,,,,
2023-01-24,"""Strength training (weight lifting, weight training)""",Cardio,237.0,34,,,,,
2023-02-13,"""Strength training (weight lifting, weight training)""",Cardio,308.7,41,,,,,
2023-02-14,"""Strength training (weight lifting, weight training)""",Cardio,286.5,47,,,,,
2023-02-15,"""Strength training (weight lifting, weight training)""",Cardio,326.4,44,,,,,
2023-07-18,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,316.0,70,,,,,
