Date,Weight
2017-01-09,80.0
2017-03-06,80.0
2017-07-26,80.0
2018-01-22,77.0
2018-03-26,78.0
2018-06-26,78.0
2019-01-11,72.2
2019-01-14,71.6
2019-10-09,71.6
2020-09-12,67.8
2020-11-01,69.5
2020-11-22,64.6
2020-12-01,63.8
2021-01-11,61.5
2021-06-06,66.0
2022-01-04,72.0
2022-06-30,75.6
2022-10-15,74.0
2023-06-23,76.6
2023-06-24,76.9
2023-06-25,76.9
2023-06-26,76.6
2023-06-27,76.3
2023-06-28,76.1
2023-06-29,75.9
2023-06-30,76.2
2023-07-01,74.9
2023-07-03,76.4
2023-07-04,77.0
2023-07-05,76.3
2023-07-06,77.0
2023-07-07,76.4
2023-07-10,76.6
2023-07-11,76.3
2023-07-13,74.6
2023-07-14,75.2
2023-09-29,79.3
2023-10-26,74.3
2024-01-02,77.7
2024-01-03,77.1
2024-01-04,76.4
2024-01-05,76.2
2024-01-06,76.4
2024-01-11,76.0
2024-01-13,75.5
2024-01-14,76.0
2024-01-15,76.0
2024-01-16,76.0
2024-01-17,76.0
2024-01-18,76.0
2024-01-19,76.0
2024-01-20,76.0
2024-01-21,76.0
2024-01-22,76.0
2024-01-23,76.0
2024-01-24,76.0
2024-01-25,76.0
2024-01-26,76.0
2024-01-27,76.0
2024-01-28,76.0
2024-01-29,76.0
2024-01-30,76.0
2024-01-31,76.0
2024-02-01,76.0
2024-02-02,76.0
2024-02-03,76.0
2024-02-04,76.0
2024-02-05,76.0
2024-02-06,76.0
2024-02-07,76.0
2024-02-08,76.0
2024-02-09,76.0
2024-02-10,76.0
2024-02-11,76.0
2024-02-12,76.0
2024-02-13,76.0
2024-02-14,76.0
2024-02-15,76.0
2024-02-16,76.0
2024-02-17,76.0
2024-02-18,76.0
2024-02-19,76.0
2024-02-20,76.0
2024-02-21,76.0
2024-02-22,76.0
2024-02-23,76.0
2024-02-24,76.0
2024-02-25,76.0
2024-02-26,76.0
2024-02-27,76.0
2024-02-28,76.0
2024-02-29,76.0
2024-03-01,76.0
2024-03-02,76.0
2024-03-03,76.0
2024-03-04,76.0
2024-03-05,76.0
2024-03-06,76.0
2024-03-07,76.0
2024-04-22,75.0
2024-08-22,80.0
2024-09-09,80.0
2024-09-11,79.2
2024-09-12,78.9
2024-09-13,78.4
2024-09-16,78.1
2024-09-17,78.2
2025-01-25,80.7
2025-04-15,83.3
2025-04-17,81.8
2025-05-30,83.0
2025-05-31,82.4
2025-07-28,84.2
2025-07-30,83.5
2025-07-31,83.2
2025-08-05,83.1
2025-08-07,82.9
2025-08-08,82.6
