Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2016-11-14,Breakfast,276.0,12.0,13.0,0.0,0.0,0.0,440.0,730.0,0.0,10.8,0.0,0.0,30.8,36.0,0.0,52.0,24.0,
2016-11-14,Lunch,687.0,15.4,7.9,0.0,0.0,0.0,0.0,360.0,0.0,46.7,2.3,18.7,6.2,0.0,0.0,0.0,0.0,
2016-11-15,Dinner,612.0,30.0,13.5,0.0,0.0,0.0,180.0,300.0,450.0,49.5,0.0,0.0,34.5,0.0,0.0,0.0,0.0,
2016-11-15,Lunch,680.0,16.9,28.6,0.0,0.0,19.0,0.0,200.0,147.5,51.5,2.8,34.7,22.3,0.0,0.0,5.0,9.0,
2017-01-12,Dinner,952.0,15.8,10.0,0.0,0.0,0.0,70.2,1346.0,468.0,142.2,22.0,24.2,47.6,0.0,23.6,6.0,16.0,
2017-01-12,Lunch,588.0,23.4,15.6,0.0,0.0,0.0,440.0,1689.0,0.0,54.8,0.0,4.0,38.1,36.0,0.0,52.0,24.0,
2017-01-13,Breakfast,476.0,7.9,5.0,0.0,0.0,0.0,35.1,673.0,234.0,71.1,11.0,12.1,23.8,0.0,11.8,3.0,8.0,
2017-07-26,Breakfast,270.0,9.0,3.0,0.0,0.0,0.0,90.0,1180.0,0.0,26.0,1.0,2.0,19.0,40.0,2.0,4.0,20.0,
2018-01-23,Breakfast,476.0,19.6,2.4,5.4,1.8,0.0,0.0,870.4,0.0,61.8,10.0,6.1,15.2,0.0,0.0,0.0,0.0,
2018-01-23,Dinner,385.4,7.9,1.6,3.9,2.6,0.0,0.0,457.6,454.2,61.9,9.3,2.1,15.5,0.0,2.4,9.2,32.4,
2018-01-23,Snacks,130.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,34.0,6.0,26.0,0.0,2.0,20.0,2.0,2.0,
2018-01-24,Breakfast,361.0,7.9,0.5,0.0,0.0,0.0,0.0,310.2,70.0,52.7,2.6,2.8,6.4,53.0,5.0,1.0,1.0,
2018-01-24,Dinner,706.4,16.8,4.6,5.5,3.7,0.0,62.0,743.4,652.2,112.7,13.2,5.6,42.9,1.0,5.9,18.7,44.9,
2018-01-24,Snacks,300.5,16.6,2.4,2.4,6.0,0.0,1.3,87.0,132.0,46.4,8.7,32.6,4.7,2.0,20.0,7.8,7.3,
2018-01-25,Breakfast,455.0,15.1,1.2,5.4,1.8,0.0,0.0,300.4,0.0,54.6,6.8,3.8,10.4,0.0,0.0,0.0,0.0,
2018-01-25,Dinner,400.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,4.0,4.0,14.0,0.0,0.0,0.0,20.0,
2018-01-25,Snacks,130.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,34.0,6.0,26.0,0.0,2.0,20.0,2.0,2.0,
2018-01-26,Dinner,320.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.6,0.0,0.0,10.0,0.0,0.0,0.0,0.0,
2018-01-26,Lunch,580.0,29.0,4.5,0.0,0.0,0.0,35.0,640.0,0.0,65.0,1.0,1.0,16.0,0.0,0.0,4.0,8.0,
2018-01-27,Lunch,490.0,22.4,3.9,0.0,0.0,0.0,0.0,0.7,0.0,57.0,4.3,18.4,17.5,0.0,0.0,0.0,0.0,
2018-01-28,Lunch,555.4,24.4,9.4,5.5,3.7,0.0,0.0,768.4,571.2,66.2,12.3,4.8,19.0,0.0,3.4,10.2,28.9,
2018-01-28,Snacks,152.0,4.4,1.7,0.0,0.0,0.5,2.5,55.0,0.0,25.3,2.9,18.6,1.8,0.0,0.0,0.0,0.0,
2018-01-29,Breakfast,455.0,15.1,1.2,5.4,1.8,0.0,0.0,300.4,0.0,54.6,6.8,3.8,10.4,0.0,0.0,0.0,0.0,
