Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2026-01-08 02:50:59,,UTCZ,74,64,48,33.99,94.09,,,,,2026-01-08 02:50:59,2026-01-08 11:10:04,84,14.1,447,499,231,124,92,52,453,99,89,67
2026-01-07 01:32:47,2026-01-08 02:50:59,UTCZ,12,63,45,34.94,,4.3,1969,125,74,2026-01-07 10:41:18,2026-01-07 12:37:48,25,14.6,114,116,56,37,21,2,567,99,97,
2026-01-06 02:07:51,2026-01-07 01:32:47,UTCZ,39,65,39,34.06,94.65,5.7,1893,140,76,2026-01-06 02:07:51,2026-01-06 10:03:11,79,15.1,399,475,210,124,65,76,470,0,84,73
2026-01-05 02:40:34,2026-01-06 02:07:51,UTCZ,48,64,44,33.88,95.00,7.1,1977,148,73,2026-01-05 02:40:34,2026-01-05 12:13:24,79,14.3,489,572,276,128,85,83,467,0,85,62
2026-01-04 01:21:41,2026-01-05 02:40:34,UTCZ,73,64,47,34.28,96.21,4.7,1996,158,72,2026-01-04 01:21:41,2026-01-04 11:36:23,82,14.2,563,614,288,134,141,51,532,64,91,57
2026-01-03 02:56:04,2026-01-04 01:21:41,UTCZ,64,65,44,34.80,96.70,5.4,1787,144,76,2026-01-03 02:56:04,2026-01-03 09:48:35,72,14.9,373,412,245,76,52,39,473,0,90,33
2026-01-01 23:12:54,2026-01-03 02:56:04,UTCZ,74,63,52,34.47,95.13,8.9,2329,195,70,2026-01-01 23:12:54,2026-01-02 11:55:26,78,14.3,676,762,435,127,114,86,286,127,88,41
2026-01-01 00:23:37,2026-01-01 23:12:54,UTCZ,5,72,43,33.12,94.50,6.3,1880,151,77,2026-01-01 00:23:37,2026-01-01 04:17:54,27,17.5,178,234,116,20,42,56,468,0,76,72
2025-12-31 01:24:59,2026-01-01 00:23:37,UTCZ,76,68,53,34.47,95.55,5.4,1855,156,75,2025-12-31 01:24:59,2025-12-31 11:58:00,82,15.1,561,633,280,148,133,72,468,0,88,67
2025-12-30 00:45:33,2025-12-31 01:24:59,UTCZ,87,62,54,33.97,95.25,5.4,1975,150,72,2025-12-30 00:45:33,2025-12-30 12:26:46,77,14.1,588,701,355,144,89,113,468,0,83,54
2025-12-29 01:06:38,2025-12-30 00:45:33,UTCZ,94,63,55,34.27,95.58,5.5,1894,146,72,2025-12-29 01:06:38,2025-12-29 12:04:25,73,14.1,545,657,317,154,74,112,468,0,82,38
2025-12-28 05:33:01,2025-12-29 01:06:38,UTCZ,61,68,48,34.23,95.64,5.3,1577,140,74,2025-12-28 05:33:01,2025-12-28 15:19:50,75,14.8,515,586,270,143,102,71,407,0,88,33
2025-12-27 03:42:53,2025-12-28 05:33:01,UTCZ,1,67,53,33.56,98.00,4.6,2010,130,72,2025-12-27 18:00:31,2025-12-27 19:29:14,7,16.8,59,88,31,22,6,29,467,0,67,
2025-12-26 02:30:57,2025-12-27 03:42:53,UTCZ,81,63,52,34.64,96.32,4.5,1964,126,72,2025-12-26 02:30:57,2025-12-26 13:08:14,83,14.5,567,637,298,158,111,70,590,121,89,63
2025-12-25 03:22:52,2025-12-26 02:30:57,UTCZ,35,65,45,33.60,95.50,5.9,1885,158,76,2025-12-25 03:22:52,2025-12-25 07:23:53,48,14.3,225,241,107,99,19,16,468,0,93,41
