Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2026-01-08 02:50:59,,UTCZ,2026-01-08 02:50:59,2026-01-08 11:10:04,84,14.1,447,499,231,124,92,52,453,99,89,67,false
2026-01-07 01:32:47,2026-01-08 02:50:59,UTCZ,2026-01-07 10:41:18,2026-01-07 12:37:48,25,14.6,114,116,56,37,21,2,567,99,97,,true
2026-01-07 01:32:47,2026-01-08 02:50:59,UTCZ,2026-01-07 01:32:47,2026-01-07 08:00:02,60,14.7,314,387,174,93,47,73,514,45,81,60,false
2026-01-06 02:07:51,2026-01-07 01:32:47,UTCZ,2026-01-06 02:07:51,2026-01-06 10:03:11,79,15.1,399,475,210,124,65,76,470,0,84,73,false
2026-01-05 02:40:34,2026-01-06 02:07:51,UTCZ,2026-01-05 02:40:34,2026-01-05 12:13:24,79,14.3,489,572,276,128,85,83,467,0,85,62,false
2026-01-04 01:21:41,2026-01-05 02:40:34,UTCZ,2026-01-04 01:21:41,2026-01-04 11:36:23,82,14.2,563,614,288,134,141,51,532,64,91,57,false
2026-01-03 02:56:04,2026-01-04 01:21:41,UTCZ,2026-01-03 02:56:04,2026-01-03 09:48:35,72,14.9,373,412,245,76,52,39,473,0,90,33,false
2026-01-01 23:12:54,2026-01-03 02:56:04,UTCZ,2026-01-01 23:12:54,2026-01-02 11:55:26,78,14.3,676,762,435,127,114,86,286,127,88,41,false
2026-01-01 00:23:37,2026-01-01 23:12:54,UTCZ,2026-01-01 09:09:37,2026-01-01 14:51:36,51,14.2,310,341,174,90,46,31,595,127,90,,true
2026-01-01 00:23:37,2026-01-01 23:12:54,UTCZ,2026-01-01 00:23:37,2026-01-01 04:17:54,27,17.5,178,234,116,20,42,56,468,0,76,72,false
2025-12-31 01:24:59,2026-01-01 00:23:37,UTCZ,2025-12-31 01:24:59,2025-12-31 11:58:00,82,15.1,561,633,280,148,133,72,468,0,88,67,false
2025-12-30 00:45:33,2025-12-31 01:24:59,UTCZ,2025-12-30 00:45:33,2025-12-30 12:26:46,77,14.1,588,701,355,144,89,113,468,0,83,54,false
2025-12-29 01:06:38,2025-12-30 00:45:33,UTCZ,2025-12-29 01:06:38,2025-12-29 12:04:25,73,14.1,545,657,317,154,74,112,468,0,82,38,false
2025-12-28 05:33:01,2025-12-29 01:06:38,UTCZ,2025-12-28 05:33:01,2025-12-28 15:19:50,75,14.8,515,586,270,143,102,71,407,0,88,33,false
2025-12-27 03:42:53,2025-12-28 05:33:01,UTCZ,2025-12-27 18:00:31,2025-12-27 19:29:14,7,16.8,59,88,31,22,6,29,467,0,67,,true
2025-12-27 03:42:53,2025-12-28 05:33:01,UTCZ,2025-12-27 03:42:53,2025-12-27 13:14:38,81,14.4,494,571,304,92,98,77,482,14,86,66,false
2025-12-26 02:30:57,2025-12-27 03:42:53,UTCZ,2025-12-26 02:30:57,2025-12-26 13:08:14,83,14.5,567,637,298,158,111,70,590,121,89,63,false
2025-12-25 03:22:52,2025-12-26 02:30:57,UTCZ,2025-12-25 03:22:52,2025-12-25 07:23:53,48,14.3,225,241,107,99,19,16,468,0,93,41,false
2025-12-24 02:16:47,2025-12-25 03:22:52,UTCZ,2025-12-24 02:16:47,2025-12-24 12:21:09,86,15.1,506,604,287,121,98,98,467,0,83,86,false
2025-12-23 02:13:12,2025-12-24 02:16:47,UTCZ,2025-12-23 02:13:12,2025-12-23 13:18:32,79,14.8,534,665,307,156,71,131,482,12,80,75,false
2025-12-22 03:00:10,2025-12-23 02:13:12,UTCZ,2025-12-22 03:00:10,2025-12-22 11:17:44,86,14.9,454,497,255,120,79,43,478,0,91,79,false
2025-12-21 02:24:13,2025-12-22 03:00:10,UTCZ,2025-12-21 02:24:13,2025-12-21 12:47:03,91,14.4,553,622,274,171,108,69,483,14,88,82,false
2025-12-20 04:06:47,2025-12-21 02:24:13,UTCZ,2025-12-20 04:06:47,2025-12-20 12:51:50,80,14.2,438,525,245,114,79,87,467,0,83,72,false
2025-12-19 02:52:18,2025-12-20 04:06:47,UTCZ,2025-12-19 02:52:18,2025-12-19 11:51:19,93,14.8,473,539,241,139,93,66,467,0,87,89,false
2025-12-18 02:31:01,2025-12-19 02:52:18,UTCZ,2025-12-18 02:31:01,2025-12-18 12:13:03,96,14.6,539,582,353,91,95,43,467,0,92,87,false
2025-12-17 02:12:51,2025-12-18 02:31:01,UTCZ,2025-12-17 02:12:51,2025-12-17 11:38:52,95,14.4,497,566,312,112,73,69,468,0,87,90,false
2025-12-16 02:15:51,2025-12-17 02:12:51,UTCZ,2025-12-16 02:15:51,2025-12-16 11:55:19,95,14.8,520,579,291,143,86,59,467,0,89,85,false
2025-12-15 01:38:38,2025-12-16 02:15:51,UTCZ,2025-12-15 01:38:38,2025-12-15 11:09:15,92,14.8,512,570,264,125,123,58,490,23,89,81,false
2025-12-14 03:02:27,2025-12-15 01:38:38,UTCZ,2025-12-14 03:02:27,2025-12-14 11:07:58,86,14.2,438,485,241,95,102,47,474,5,90,76,false
2025-12-13 02:14:53,2025-12-14 03:02:27,UTCZ,2025-12-13 02:14:53,2025-12-13 12:31:47,80,14.2,505,616,279,124,102,111,513,45,81,73,false
2025-12-12 01:49:24,2025-12-13 02:14:53,UTCZ,2025-12-12 01:49:24,2025-12-12 11:52:25,71,14.7,468,603,264,129,75,135,560,92,77,61,false
2025-12-11 02:19:55,2025-12-12 01:49:24,UTCZ,2025-12-11 02:19:55,2025-12-11 10:05:55,79,14.2,415,465,235,114,66,50,559,91,89,69,false
2025-12-10 02:47:12,2025-12-11 02:19:55,UTCZ,2025-12-10 02:47:12,2025-12-10 09:19:12,78,14.1,369,392,166,117,86,23,512,42,94,61,false
2025-12-09 02:55:40,2025-12-10 02:47:12,UTCZ,2025-12-09 02:55:40,2025-12-09 10:44:05,76,14.0,425,468,262,86,77,43,491,110,90,42,false
2025-12-08 00:11:33,2025-12-09 02:55:40,UTCZ,2025-12-08 20:09:07,2025-12-08 22:00:07,8,15.5,86,111,21,39,26,25,578,110,77,,true
2025-12-08 00:11:33,2025-12-09 02:55:40,UTCZ,2025-12-08 00:11:33,2025-12-08 06:29:32,66,14.6,340,377,154,128,58,37,560,92,90,35,false
2025-12-07 03:23:10,2025-12-08 00:11:33,UTCZ,2025-12-07 03:23:10,2025-12-07 09:09:07,61,14.5,282,345,149,97,36,63,467,0,81,57,false
2025-12-06 01:34:54,2025-12-07 03:23:10,UTCZ,2025-12-06 01:34:54,2025-12-06 12:23:37,75,14.3,506,648,328,127,51,142,493,25,78,61,false
2025-12-05 02:50:24,2025-12-06 01:34:54,UTCZ,2025-12-05 02:50:24,2025-12-05 11:58:01,73,14.7,431,547,208,155,68,116,483,14,79,63,false
2025-12-04 02:09:13,2025-12-05 02:50:24,UTCZ,2025-12-04 02:09:13,2025-12-04 11:13:18,78,13.9,465,544,266,140,59,79,488,20,85,59,false
2025-12-03 02:52:32,2025-12-04 02:09:13,UTCZ,2025-12-03 02:52:32,2025-12-03 11:00:33,72,14.7,407,488,224,102,81,81,447,99,83,40,false
