Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled
2025-12-10 02:47:12,2025-12-11 02:19:55,UTCZ,2025-12-10 14:39:00,2025-12-10 14:56:59,17,Walking,4.0,26.0,123,98,4,0,0,0,0,false
2025-12-09 02:55:40,2025-12-10 02:47:12,UTCZ,2025-12-09 13:16:30,2025-12-09 13:34:29,17,Walking,4.7,62.0,140,111,55,0,0,0,0,false
2025-10-22 00:34:43,2025-10-23 02:58:51,UTC+01:00,2025-10-22 18:30:56,2025-10-22 19:28:51,57,Weightlifting,8.9,391.0,165,125,73,16,6,0,0,false
2025-10-21 04:15:50,2025-10-22 00:34:43,UTC+01:00,2025-10-21 18:37:30,2025-10-21 19:08:59,31,Walking,5.2,102.0,142,108,32,1,0,0,0,false
2025-10-20 01:26:13,2025-10-21 04:15:50,UTC+01:00,2025-10-20 19:26:30,2025-10-20 19:31:56,5,Stairmaster,5.5,66.0,172,149,0,55,31,14,0,false
2025-10-20 01:26:13,2025-10-21 04:15:50,UTC+01:00,2025-10-20 18:55:13,2025-10-20 19:26:16,31,Weightlifting,6.3,178.0,161,119,62,15,0,0,0,false
2025-10-11 04:16:44,2025-10-12 03:13:49,UTC+01:00,2025-10-11 15:35:14,2025-10-11 16:24:57,49,Weightlifting,6.4,211.0,159,113,70,0,0,0,0,false
2025-10-11 04:16:44,2025-10-12 03:13:49,UTC+01:00,2025-10-11 15:21:56,2025-10-11 15:34:58,13,Stairmaster,6.9,133.0,172,140,18,19,49,5,0,false
2025-10-09 01:22:49,2025-10-10 02:23:50,UTC+01:00,2025-10-09 18:32:56,2025-10-09 19:01:41,28,Weightlifting,5.4,127.0,142,114,76,1,0,0,0,false
2025-10-09 01:22:49,2025-10-10 02:23:50,UTC+01:00,2025-10-09 18:17:20,2025-10-09 18:28:37,11,Stairmaster,6.3,113.0,170,140,12,41,34,5,0,false
2025-10-06 00:51:34,2025-10-07 02:28:59,UTC+01:00,2025-10-06 18:30:13,2025-10-06 19:11:39,41,Weightlifting,10.3,398.0,171,138,31,41,25,3,0,false
2025-10-06 00:51:34,2025-10-07 02:28:59,UTC+01:00,2025-10-06 18:20:25,2025-10-06 18:29:48,9,Stairmaster,10.8,167.0,192,175,0,4,9,9,78,false
2025-10-06 00:51:34,2025-10-07 02:28:59,UTC+01:00,2025-10-06 18:20:00,2025-10-06 18:20:04,0,Weightlifting,0.9,1.0,138,135,44,56,0,0,0,false
2025-09-30 01:41:46,2025-10-01 03:37:37,UTC+01:00,2025-09-30 20:44:15,2025-09-30 21:28:12,43,Weightlifting,7.3,243.0,164,117,49,16,6,0,0,false
2025-09-19 01:14:10,2025-09-20 02:51:53,UTC+01:00,2025-09-19 13:04:30,2025-09-19 13:26:59,22,Walking,4.8,78.0,141,107,57,1,0,0,0,false
2025-09-15 02:04:40,2025-09-16 00:20:06,UTC+01:00,2025-09-15 18:56:35,2025-09-15 19:31:22,34,Walking,5.3,119.0,134,107,47,0,0,0,0,false
